1, 200, 300
1, 600, 300
1, 1000, 300
1, 1400, 300
1, 1800, 300
1, 2200, 300
1, 2600, 300
2, 200, 700
2, 600, 700
2, 1000, 700
2, 1400, 700
2, 1800, 700
2, 2200, 700
2, 2600, 700
3, 200, 1100
3, 600, 1100
3, 1000, 1100
3, 1400, 1100
3, 1800, 1100
3, 2200, 1100
3, 2600, 1100
4, 200, 1500
4, 600, 1500
4, 1000, 1500
4, 1400, 1500
4, 1800, -300
4, 2200, -300
4, 2600, -300
5, 200, -700
5, 600, -700
5, 1000, -700
5, -1800, -700
5, -1400, -700
5, -1200, -700
5, -800, -700
2, -300, -300
4, -8953.2, 1000
5, 25300.15, -700
